iter 100 eval tensor(5.7508, device='cuda:0', dtype=torch.float64) best tensor(5.7508, device='cuda:0', dtype=torch.float64) error tensor(20.8265, device='cuda:0', dtype=torch.float64) time 37
iter 14600 eval tensor(4.8602, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.1065, device='cuda:0', dtype=torch.float64) time 4082
iter 14700 eval tensor(4.8606, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.1175, device='cuda:0', dtype=torch.float64) time 4110
iter 14800 eval tensor(4.8634, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.1855, device='cuda:0', dtype=torch.float64) time 4138
iter 14900 eval tensor(4.8698, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.3065, device='cuda:0', dtype=torch.float64) time 4166
iter 15000 eval tensor(4.8702, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.3295, device='cuda:0', dtype=torch.float64) time 4194
iter 15100 eval tensor(4.8663, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.2215, device='cuda:0', dtype=torch.float64) time 4223
iter 15200 eval tensor(4.8669, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.2500, device='cuda:0', dtype=torch.float64) time 4251
iter 15300 eval tensor(4.8659, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.2520, device='cuda:0', dtype=torch.float64) time 4279
iter 15400 eval tensor(4.8715, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.3585, device='cuda:0', dtype=torch.float64) time 4307
iter 15500 eval tensor(4.8613, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.1545, device='cuda:0', dtype=torch.float64) time 4335
iter 15600 eval tensor(4.8640, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.1990, device='cuda:0', dtype=torch.float64) time 4363
iter 15700 eval tensor(4.8702, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.3260, device='cuda:0', dtype=torch.float64) time 4391
iter 15800 eval tensor(4.8648, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.2120, device='cuda:0', dtype=torch.float64) time 4419
iter 15900 eval tensor(4.8635, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.1855, device='cuda:0', dtype=torch.float64) time 4448
iter 16000 eval tensor(4.8626, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.1595, device='cuda:0', dtype=torch.float64) time 4476
iter 16100 eval tensor(4.8632, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.1750, device='cuda:0', dtype=torch.float64) time 4504
iter 16200 eval tensor(4.8639, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.1905, device='cuda:0', dtype=torch.float64) time 4533
iter 16300 eval tensor(4.8632, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.1655, device='cuda:0', dtype=torch.float64) time 4561
iter 16400 eval tensor(4.8707, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.3425, device='cuda:0', dtype=torch.float64) time 4589
iter 16500 eval tensor(4.8612, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.1555, device='cuda:0', dtype=torch.float64) time 4617
iter 16600 eval tensor(4.8689, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.3280, device='cuda:0', dtype=torch.float64) time 4645
iter 16700 eval tensor(4.8643, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.2190, device='cuda:0', dtype=torch.float64) time 4674
iter 16800 eval tensor(4.8650, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.2250, device='cuda:0', dtype=torch.float64) time 4702
iter 16900 eval tensor(4.8618, device='cuda:0', dtype=torch.float64) best tensor(4.8602, device='cuda:0', dtype=torch.float64) error tensor(2.1565, device='cuda:0', dtype=torch.float64) time 4730
iter 17000 eval tensor(4.8588, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.0975, device='cuda:0', dtype=torch.float64) time 4759
iter 17100 eval tensor(4.8636, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.1975, device='cuda:0', dtype=torch.float64) time 4787
iter 17200 eval tensor(4.8685, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.2920, device='cuda:0', dtype=torch.float64) time 4815
iter 17300 eval tensor(4.8595, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.1010, device='cuda:0', dtype=torch.float64) time 4844
iter 17400 eval tensor(4.8665, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.2375, device='cuda:0', dtype=torch.float64) time 4872
iter 17500 eval tensor(4.8671, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.2680, device='cuda:0', dtype=torch.float64) time 4900
iter 17600 eval tensor(4.8602, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.1130, device='cuda:0', dtype=torch.float64) time 4928
iter 17700 eval tensor(4.8639, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.1850, device='cuda:0', dtype=torch.float64) time 4957
iter 17800 eval tensor(4.8620, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.1375, device='cuda:0', dtype=torch.float64) time 4986
iter 17900 eval tensor(4.8618, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.1430, device='cuda:0', dtype=torch.float64) time 5014
iter 18000 eval tensor(4.8627, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.1600, device='cuda:0', dtype=torch.float64) time 5042
iter 18100 eval tensor(4.8612, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.1325, device='cuda:0', dtype=torch.float64) time 5070
iter 18200 eval tensor(4.8676, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.2750, device='cuda:0', dtype=torch.float64) time 5099
iter 18300 eval tensor(4.8670, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.2585, device='cuda:0', dtype=torch.float64) time 5127
iter 18400 eval tensor(4.8624, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.1510, device='cuda:0', dtype=torch.float64) time 5154
iter 18500 eval tensor(4.8629, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.1560, device='cuda:0', dtype=torch.float64) time 5183
iter 18600 eval tensor(4.8632, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.1670, device='cuda:0', dtype=torch.float64) time 5211
iter 18700 eval tensor(4.8625, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.1515, device='cuda:0', dtype=torch.float64) time 5239
iter 18800 eval tensor(4.8731, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.3800, device='cuda:0', dtype=torch.float64) time 5267
iter 18900 eval tensor(4.8629, device='cuda:0', dtype=torch.float64) best tensor(4.8588, device='cuda:0', dtype=torch.float64) error tensor(2.1590, device='cuda:0', dtype=torch.float64) time 5295
iter 19000 eval tensor(4.8569, device='cuda:0', dtype=torch.float64) best tensor(4.8569, device='cuda:0', dtype=torch.float64) error tensor(2.0415, device='cuda:0', dtype=torch.float64) time 5323
iter 19100 eval tensor(4.8595, device='cuda:0', dtype=torch.float64) best tensor(4.8569, device='cuda:0', dtype=torch.float64) error tensor(2.0905, device='cuda:0', dtype=torch.float64) time 5351
iter 19200 eval tensor(4.8626, device='cuda:0', dtype=torch.float64) best tensor(4.8569, device='cuda:0', dtype=torch.float64) error tensor(2.1585, device='cuda:0', dtype=torch.float64) time 5379
iter 19300 eval tensor(4.8637, device='cuda:0', dtype=torch.float64) best tensor(4.8569, device='cuda:0', dtype=torch.float64) error tensor(2.1815, device='cuda:0', dtype=torch.float64) time 5407
iter 19400 eval tensor(4.8574, device='cuda:0', dtype=torch.float64) best tensor(4.8569, device='cuda:0', dtype=torch.float64) error tensor(2.0615, device='cuda:0', dtype=torch.float64) time 5435
iter 19500 eval tensor(4.8636, device='cuda:0', dtype=torch.float64) best tensor(4.8569, device='cuda:0', dtype=torch.float64) error tensor(2.1775, device='cuda:0', dtype=torch.float64) time 5463
iter 19600 eval tensor(4.8610, device='cuda:0', dtype=torch.float64) best tensor(4.8569, device='cuda:0', dtype=torch.float64) error tensor(2.1205, device='cuda:0', dtype=torch.float64) time 5492
iter 19700 eval tensor(4.8584, device='cuda:0', dtype=torch.float64) best tensor(4.8569, device='cuda:0', dtype=torch.float64) error tensor(2.0635, device='cuda:0', dtype=torch.float64) time 5520
iter 19800 eval tensor(4.8618, device='cuda:0', dtype=torch.float64) best tensor(4.8569, device='cuda:0', dtype=torch.float64) error tensor(2.1475, device='cuda:0', dtype=torch.float64) time 5548
iter 19900 eval tensor(4.8615, device='cuda:0', dtype=torch.float64) best tensor(4.8569, device='cuda:0', dtype=torch.float64) error tensor(2.1325, device='cuda:0', dtype=torch.float64) time 5577
iter 20000 eval tensor(4.8609, device='cuda:0', dtype=torch.float64) best tensor(4.8569, device='cuda:0', dtype=torch.float64) error tensor(2.1250, device='cuda:0', dtype=torch.float64) time 5604
iter 20100 eval tensor(4.8597, device='cuda:0', dtype=torch.float64) best tensor(4.8569, device='cuda:0', dtype=torch.float64) error tensor(2.1025, device='cuda:0', dtype=torch.float64) time 5633
iter 20200 eval tensor(4.8568, device='cuda:0', dtype=torch.float64) best tensor(4.8568, device='cuda:0', dtype=torch.float64) error tensor(2.0345, device='cuda:0', dtype=torch.float64) time 5661
iter 20300 eval tensor(4.8674, device='cuda:0', dtype=torch.float64) best tensor(4.8568, device='cuda:0', dtype=torch.float64) error tensor(2.2585, device='cuda:0', dtype=torch.float64) time 5689
iter 20400 eval tensor(4.8583, device='cuda:0', dtype=torch.float64) best tensor(4.8568, device='cuda:0', dtype=torch.float64) error tensor(2.0635, device='cuda:0', dtype=torch.float64) time 5717
iter 20500 eval tensor(4.8568, device='cuda:0', dtype=torch.float64) best tensor(4.8568, device='cuda:0', dtype=torch.float64) error tensor(2.0340, device='cuda:0', dtype=torch.float64) time 5746
iter 20600 eval tensor(4.8626, device='cuda:0', dtype=torch.float64) best tensor(4.8568, device='cuda:0', dtype=torch.float64) error tensor(2.1460, device='cuda:0', dtype=torch.float64) time 5774
iter 20700 eval tensor(4.8588, device='cuda:0', dtype=torch.float64) best tensor(4.8568, device='cuda:0', dtype=torch.float64) error tensor(2.0690, device='cuda:0', dtype=torch.float64) time 5802
iter 20800 eval tensor(4.8582, device='cuda:0', dtype=torch.float64) best tensor(4.8568, device='cuda:0', dtype=torch.float64) error tensor(2.0705, device='cuda:0', dtype=torch.float64) time 5830
iter 20900 eval tensor(4.8641, device='cuda:0', dtype=torch.float64) best tensor(4.8568, device='cuda:0', dtype=torch.float64) error tensor(2.1885, device='cuda:0', dtype=torch.float64) time 5858
iter 21000 eval tensor(4.8591, device='cuda:0', dtype=torch.float64) best tensor(4.8568, device='cuda:0', dtype=torch.float64) error tensor(2.0945, device='cuda:0', dtype=torch.float64) time 5885
iter 21100 eval tensor(4.8551, device='cuda:0', dtype=torch.float64) best tensor(4.8551, device='cuda:0', dtype=torch.float64) error tensor(2.0095, device='cuda:0', dtype=torch.float64) time 5914
iter 21200 eval tensor(4.8609, device='cuda:0', dtype=torch.float64) best tensor(4.8551, device='cuda:0', dtype=torch.float64) error tensor(2.1260, device='cuda:0', dtype=torch.float64) time 5942
iter 21300 eval tensor(4.8623, device='cuda:0', dtype=torch.float64) best tensor(4.8551, device='cuda:0', dtype=torch.float64) error tensor(2.1520, device='cuda:0', dtype=torch.float64) time 5970
iter 21400 eval tensor(4.8621, device='cuda:0', dtype=torch.float64) best tensor(4.8551, device='cuda:0', dtype=torch.float64) error tensor(2.1670, device='cuda:0', dtype=torch.float64) time 5998
iter 21500 eval tensor(4.8666, device='cuda:0', dtype=torch.float64) best tensor(4.8551, device='cuda:0', dtype=torch.float64) error tensor(2.2550, device='cuda:0', dtype=torch.float64) time 6026
iter 21600 eval tensor(4.8563, device='cuda:0', dtype=torch.float64) best tensor(4.8551, device='cuda:0', dtype=torch.float64) error tensor(2.0380, device='cuda:0', dtype=torch.float64) time 6055
iter 21700 eval tensor(4.8569, device='cuda:0', dtype=torch.float64) best tensor(4.8551, device='cuda:0', dtype=torch.float64) error tensor(2.0505, device='cuda:0', dtype=torch.float64) time 6083
iter 21800 eval tensor(4.8594, device='cuda:0', dtype=torch.float64) best tensor(4.8551, device='cuda:0', dtype=torch.float64) error tensor(2.0980, device='cuda:0', dtype=torch.float64) time 6112
iter 21900 eval tensor(4.8551, device='cuda:0', dtype=torch.float64) best tensor(4.8551, device='cuda:0', dtype=torch.float64) error tensor(2.0145, device='cuda:0', dtype=torch.float64) time 6140
iter 22000 eval tensor(4.8591, device='cuda:0', dtype=torch.float64) best tensor(4.8551, device='cuda:0', dtype=torch.float64) error tensor(2.0920, device='cuda:0', dtype=torch.float64) time 6168
iter 22100 eval tensor(4.8608, device='cuda:0', dtype=torch.float64) best tensor(4.8551, device='cuda:0', dtype=torch.float64) error tensor(2.1360, device='cuda:0', dtype=torch.float64) time 6196
iter 22200 eval tensor(4.8536, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(1.9740, device='cuda:0', dtype=torch.float64) time 6224
iter 22300 eval tensor(4.8596, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.1025, device='cuda:0', dtype=torch.float64) time 6252
iter 22400 eval tensor(4.8563, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.0150, device='cuda:0', dtype=torch.float64) time 6280
iter 22500 eval tensor(4.8570, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.0440, device='cuda:0', dtype=torch.float64) time 6308
iter 22600 eval tensor(4.8575, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.0485, device='cuda:0', dtype=torch.float64) time 6336
iter 22700 eval tensor(4.8601, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.0995, device='cuda:0', dtype=torch.float64) time 6365
iter 22800 eval tensor(4.8574, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.0520, device='cuda:0', dtype=torch.float64) time 6393
iter 22900 eval tensor(4.8584, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.0710, device='cuda:0', dtype=torch.float64) time 6421
iter 23000 eval tensor(4.8593, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.0880, device='cuda:0', dtype=torch.float64) time 6449
iter 23100 eval tensor(4.8554, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.0195, device='cuda:0', dtype=torch.float64) time 6477
iter 23200 eval tensor(4.8553, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.0095, device='cuda:0', dtype=torch.float64) time 6505
iter 23300 eval tensor(4.8571, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.0375, device='cuda:0', dtype=torch.float64) time 6533
iter 23400 eval tensor(4.8554, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.0100, device='cuda:0', dtype=torch.float64) time 6561
iter 23500 eval tensor(4.8567, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.0365, device='cuda:0', dtype=torch.float64) time 6590
iter 23600 eval tensor(4.8599, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.1010, device='cuda:0', dtype=torch.float64) time 6618
iter 23700 eval tensor(4.8566, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.0365, device='cuda:0', dtype=torch.float64) time 6646
iter 23800 eval tensor(4.8565, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.0345, device='cuda:0', dtype=torch.float64) time 6674
iter 23900 eval tensor(4.8592, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.0770, device='cuda:0', dtype=torch.float64) time 6702
iter 24000 eval tensor(4.8592, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.0720, device='cuda:0', dtype=torch.float64) time 6730
iter 24100 eval tensor(4.8540, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(1.9705, device='cuda:0', dtype=torch.float64) time 6759
iter 24200 eval tensor(4.8565, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.0200, device='cuda:0', dtype=torch.float64) time 6787
iter 24300 eval tensor(4.8598, device='cuda:0', dtype=torch.float64) best tensor(4.8536, device='cuda:0', dtype=torch.float64) error tensor(2.1015, device='cuda:0', dtype=torch.float64) time 6815
iter 24400 eval tensor(4.8531, device='cuda:0', dtype=torch.float64) best tensor(4.8531, device='cuda:0', dtype=torch.float64) error tensor(1.9695, device='cuda:0', dtype=torch.float64) time 6843
iter 24500 eval tensor(4.8548, device='cuda:0', dtype=torch.float64) best tensor(4.8531, device='cuda:0', dtype=torch.float64) error tensor(2.0050, device='cuda:0', dtype=torch.float64) time 6872
iter 24600 eval tensor(4.8591, device='cuda:0', dtype=torch.float64) best tensor(4.8531, device='cuda:0', dtype=torch.float64) error tensor(2.0885, device='cuda:0', dtype=torch.float64) time 6900
iter 24700 eval tensor(4.8569, device='cuda:0', dtype=torch.float64) best tensor(4.8531, device='cuda:0', dtype=torch.float64) error tensor(2.0480, device='cuda:0', dtype=torch.float64) time 6928
iter 24800 eval tensor(4.8561, device='cuda:0', dtype=torch.float64) best tensor(4.8531, device='cuda:0', dtype=torch.float64) error tensor(2.0320, device='cuda:0', dtype=torch.float64) time 6956
iter 24900 eval tensor(4.8571, device='cuda:0', dtype=torch.float64) best tensor(4.8531, device='cuda:0', dtype=torch.float64) error tensor(2.0435, device='cuda:0', dtype=torch.float64) time 6985
iter 25000 eval tensor(4.8630, device='cuda:0', dtype=torch.float64) best tensor(4.8531, device='cuda:0', dtype=torch.float64) error tensor(2.1710, device='cuda:0', dtype=torch.float64) time 7013
iter 25100 eval tensor(4.8560, device='cuda:0', dtype=torch.float64) best tensor(4.8531, device='cuda:0', dtype=torch.float64) error tensor(2.0240, device='cuda:0', dtype=torch.float64) time 7041
iter 25200 eval tensor(4.8582, device='cuda:0', dtype=torch.float64) best tensor(4.8531, device='cuda:0', dtype=torch.float64) error tensor(2.0665, device='cuda:0', dtype=torch.float64) time 7070
iter 25300 eval tensor(4.8531, device='cuda:0', dtype=torch.float64) best tensor(4.8531, device='cuda:0', dtype=torch.float64) error tensor(1.9540, device='cuda:0', dtype=torch.float64) time 7098
iter 25400 eval tensor(4.8593, device='cuda:0', dtype=torch.float64) best tensor(4.8531, device='cuda:0', dtype=torch.float64) error tensor(2.0850, device='cuda:0', dtype=torch.float64) time 7126
iter 25500 eval tensor(4.8612, device='cuda:0', dtype=torch.float64) best tensor(4.8531, device='cuda:0', dtype=torch.float64) error tensor(2.1550, device='cuda:0', dtype=torch.float64) time 7154
iter 25600 eval tensor(4.8562, device='cuda:0', dtype=torch.float64) best tensor(4.8531, device='cuda:0', dtype=torch.float64) error tensor(2.0235, device='cuda:0', dtype=torch.float64) time 7182
iter 25700 eval tensor(4.8538, device='cuda:0', dtype=torch.float64) best tensor(4.8531, device='cuda:0', dtype=torch.float64) error tensor(1.9780, device='cuda:0', dtype=torch.float64) time 7210
iter 25800 eval tensor(4.8567, device='cuda:0', dtype=torch.float64) best tensor(4.8531, device='cuda:0', dtype=torch.float64) error tensor(2.0370, device='cuda:0', dtype=torch.float64) time 7238
iter 25900 eval tensor(4.8536, device='cuda:0', dtype=torch.float64) best tensor(4.8531, device='cuda:0', dtype=torch.float64) error tensor(1.9680, device='cuda:0', dtype=torch.float64) time 7267
iter 26000 eval tensor(4.8510, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(1.9000, device='cuda:0', dtype=torch.float64) time 7295
iter 26100 eval tensor(4.8585, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(2.0540, device='cuda:0', dtype=torch.float64) time 7323
iter 26200 eval tensor(4.8539, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(1.9710, device='cuda:0', dtype=torch.float64) time 7351
iter 26300 eval tensor(4.8569, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(2.0355, device='cuda:0', dtype=torch.float64) time 7379
iter 26400 eval tensor(4.8563, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(2.0200, device='cuda:0', dtype=torch.float64) time 7407
iter 26500 eval tensor(4.8514, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(1.9160, device='cuda:0', dtype=torch.float64) time 7435
iter 26600 eval tensor(4.8561, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(2.0150, device='cuda:0', dtype=torch.float64) time 7464
iter 26700 eval tensor(4.8547, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(2.0070, device='cuda:0', dtype=torch.float64) time 7492
iter 26800 eval tensor(4.8532, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(1.9610, device='cuda:0', dtype=torch.float64) time 7520
iter 26900 eval tensor(4.8603, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(2.1165, device='cuda:0', dtype=torch.float64) time 7548
iter 27000 eval tensor(4.8555, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(2.0100, device='cuda:0', dtype=torch.float64) time 7577
iter 27100 eval tensor(4.8561, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(2.0355, device='cuda:0', dtype=torch.float64) time 7604
iter 27200 eval tensor(4.8516, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(1.9415, device='cuda:0', dtype=torch.float64) time 7633
iter 27300 eval tensor(4.8583, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(2.0715, device='cuda:0', dtype=torch.float64) time 7661
iter 27400 eval tensor(4.8566, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(2.0545, device='cuda:0', dtype=torch.float64) time 7689
iter 27500 eval tensor(4.8547, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(2.0060, device='cuda:0', dtype=torch.float64) time 7717
iter 27600 eval tensor(4.8565, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(2.0445, device='cuda:0', dtype=torch.float64) time 7745
iter 27700 eval tensor(4.8529, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(1.9660, device='cuda:0', dtype=torch.float64) time 7774
iter 27800 eval tensor(4.8544, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(1.9840, device='cuda:0', dtype=torch.float64) time 7802
iter 27900 eval tensor(4.8545, device='cuda:0', dtype=torch.float64) best tensor(4.8510, device='cuda:0', dtype=torch.float64) error tensor(1.9885, device='cuda:0', dtype=torch.float64) time 7830
iter 28000 eval tensor(4.8508, device='cuda:0', dtype=torch.float64) best tensor(4.8508, device='cuda:0', dtype=torch.float64) error tensor(1.9115, device='cuda:0', dtype=torch.float64) time 7858
iter 28100 eval tensor(4.8502, device='cuda:0', dtype=torch.float64) best tensor(4.8502, device='cuda:0', dtype=torch.float64) error tensor(1.8940, device='cuda:0', dtype=torch.float64) time 7887
iter 28200 eval tensor(4.8536, device='cuda:0', dtype=torch.float64) best tensor(4.8502, device='cuda:0', dtype=torch.float64) error tensor(1.9870, device='cuda:0', dtype=torch.float64) time 7915
iter 28300 eval tensor(4.8614, device='cuda:0', dtype=torch.float64) best tensor(4.8502, device='cuda:0', dtype=torch.float64) error tensor(2.1260, device='cuda:0', dtype=torch.float64) time 7943
iter 28400 eval tensor(4.8593, device='cuda:0', dtype=torch.float64) best tensor(4.8502, device='cuda:0', dtype=torch.float64) error tensor(2.0795, device='cuda:0', dtype=torch.float64) time 7971
iter 28500 eval tensor(4.8543, device='cuda:0', dtype=torch.float64) best tensor(4.8502, device='cuda:0', dtype=torch.float64) error tensor(1.9845, device='cuda:0', dtype=torch.float64) time 7999
iter 28600 eval tensor(4.8517, device='cuda:0', dtype=torch.float64) best tensor(4.8502, device='cuda:0', dtype=torch.float64) error tensor(1.9350, device='cuda:0', dtype=torch.float64) time 8027
iter 28700 eval tensor(4.8544, device='cuda:0', dtype=torch.float64) best tensor(4.8502, device='cuda:0', dtype=torch.float64) error tensor(1.9895, device='cuda:0', dtype=torch.float64) time 8055
iter 28800 eval tensor(4.8541, device='cuda:0', dtype=torch.float64) best tensor(4.8502, device='cuda:0', dtype=torch.float64) error tensor(1.9850, device='cuda:0', dtype=torch.float64) time 8083
iter 28900 eval tensor(4.8548, device='cuda:0', dtype=torch.float64) best tensor(4.8502, device='cuda:0', dtype=torch.float64) error tensor(1.9890, device='cuda:0', dtype=torch.float64) time 8112
